,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales Price,Quantity,Discount,Profit,Order ID Year,Days to Ship,Customer Name Masked,Original Price,Total Revenue,Total Profit,Discount Price,Total Discount,Shipping Urgency,Days Last Order,Overall Revenue Generated,Overall Quantity Sold,Overall Discount Given,Ship Category,Discounted Price
15,35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,MA-17560,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,2017,4,MA,36.839999999999996,88.416,29.8404,7.367999999999999,22.104,Standard,2819,6449.1320000000005,39,1.6,1-5 Days,29.471999999999998
17,38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,SN-20710,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,2015,4,SN,141.66,1019.952,318.735,28.332,254.988,Standard,2775,10448.614,44,0.7,1-5 Days,113.328
18,42,CA-2017-120999,2017-10-09,2017-10-09,Standard Class,LC-16930,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,2017,0,LC,183.96,588.672,66.2256,36.792,147.168,Immediate,2796,26322.786,30,1.3,,147.168
19,43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,RA-19885,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894,2016,5,RA,77.88,155.76,7.788,0.0,0.0,Standard,2798,10612.286000000002,23,0.2,1-5 Days,77.88
20,44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,ES-14080,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,2017,4,ES,119.52,191.232,19.1232,23.904,47.808,Standard,2857,9655.372,39,1.7000000000000002,1-5 Days,95.616
21,45,CA-2016-118255,2016-11-03,2016-11-03,First Class,ON-18715,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,2016,0,ON,45.98,91.96,39.5428,0.0,0.0,Immediate,3165,3970.408,31,2.0,,45.98
22,47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784,2014,5,PO,211.96,847.84,33.9136,0.0,0.0,Standard,2755,4300.244,24,0.2,1-5 Days,211.96
23,48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,LH-16900,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive,45.0,3,0.0,4.95,2016,5,LH,45.0,135.0,14.850000000000001,0.0,0.0,Standard,2864,10273.894,43,1.5,1-5 Days,45.0
24,50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,DP-13000,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,2015,4,DP,38.22,229.32,107.7804,0.0,0.0,Standard,2881,4511.592000000001,38,3.0,1-5 Days,38.22
25,54,CA-2016-105816,2016-11-12,2016-12-17,Standard Class,JM-15265,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,2016,35,JM,15.26,106.82,43.7962,0.0,0.0,Standard,2792,245.628,14,0.2,31+ Days,15.26
26,56,CA-2016-111682,2016-06-17,2016-06-18,First Class,TB-21055,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,2016,1,TB,208.56,1251.3600000000001,312.84000000000003,0.0,0.0,Urgent,3039,1740.3380000000002,18,0.4,1-5 Days,208.56
27,63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,KM-16720,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.1512,2015,6,KM,13.98,27.96,12.3024,0.0,0.0,Standard,3076,4253.886,24,0.6000000000000001,6-30 Days,13.98
28,67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,PS-18970,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,2015,5,PS,304.45000000000005,1065.575,-76.1125,91.33500000000001,456.67500000000007,Standard,2824,3047.4269999999997,32,0.7,1-5 Days,213.11500000000004
30,70,CA-2016-119823,2016-04-06,2016-06-06,First Class,KD-16270,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636,2016,61,KD,75.88,151.76,71.3272,0.0,0.0,Standard,3388,13280.046,23,1.2000000000000002,31+ Days,75.88
31,71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,HM-14980,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,2016,5,HM,5.77,4.616,1.731,1.154,1.154,Standard,2811,1018.8520000000001,12,0.6000000000000001,1-5 Days,4.616
32,72,CA-2017-114440,2017-09-14,2017-09-17,Second Class,TB-21520,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763,2017,3,TB,19.05,57.150000000000006,26.289,0.0,0.0,Urgent,2862,24219.94,38,2.1,1-5 Days,19.05
34,76,US-2017-118038,2017-09-12,2017-11-12,First Class,KB-16600,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344,2017,61,KB,6.240000000000001,3.7439999999999998,-5.8031999999999995,4.992000000000001,14.976000000000003,Standard,2756,4073.59,23,1.6,31+ Days,1.2480000000000002
35,79,US-2014-147606,2014-11-26,2014-12-01,Second Class,JE-15745,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,2014,5,JE,48.25,96.5,-72.375,28.95,144.75,Standard,2854,17172.538,62,2.3,1-5 Days,19.3
36,80,CA-2016-127208,2016-12-06,2016-12-06,First Class,SC-20770,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.2032,2016,0,SC,208.16,208.16,56.2032,0.0,0.0,Immediate,2796,7175.826,24,1.0,,208.16
37,82,CA-2014-139451,2014-12-10,2014-12-10,Standard Class,DN-13690,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,4.172,2014,0,DN,14.9,74.5,20.86,0.0,0.0,Immediate,2972,10299.12,33,0.2,,14.9
38,84,CA-2015-149734,2015-03-09,2015-08-09,Standard Class,JC-16105,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,2015,153,JC,251.23,1406.8880000000001,439.6525,50.246,351.72200000000004,Standard,2823,1945.7880000000002,18,0.2,31+ Days,200.98399999999998
39,85,US-2017-119662,2017-11-13,2017-11-16,First Class,CS-12400,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,2017,3,CS,287.96999999999997,691.128,-146.8647,57.593999999999994,172.78199999999998,Urgent,2757,7503.588,31,1.4500000000000002,1-5 Days,230.37599999999998
40,86,CA-2017-140088,2017-05-28,2017-05-30,Second Class,PO-18865,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.2156,2017,2,PO,301.96,603.92,66.4312,0.0,0.0,Urgent,2755,4300.244,24,0.2,1-5 Days,301.96
41,87,CA-2017-155558,2017-10-26,2017-10-26,Standard Class,PG-18895,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech�LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.7966,2017,0,PG,19.99,19.99,6.7966,0.0,0.0,Immediate,2820,3910.772,37,0.4,,19.99
42,89,CA-2016-159695,2016-05-04,2016-10-04,Second Class,GM-14455,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,2016,153,GM,197.95999999999998,1108.576,97.0004,39.592,277.144,Standard,2771,11193.718,28,1.0,31+ Days,158.368
43,90,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,JS-15685,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,6.633,2016,5,JS,20.1,60.300000000000004,19.899,0.0,0.0,Standard,2797,1400.052,12,0.6000000000000001,1-5 Days,20.1
44,93,CA-2015-149587,2015-01-31,2015-05-02,Second Class,KB-16315,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2,0.0,6.2208,2015,91,KB,12.96,25.92,12.4416,0.0,0.0,Standard,2873,2109.91,25,1.5,31+ Days,12.96
45,96,US-2017-109484,2017-06-11,2017-12-11,Standard Class,RB-19705,Home Office,United States,Portland,Oregon,97206,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788,2017,183,RB,18.939999999999998,5.682,-3.788,13.257999999999997,13.257999999999997,Standard,2862,4136.486,11,1.0,31+ Days,5.682
46,97,CA-2017-161018,2017-09-11,2017-11-11,Second Class,PN-18775,Home Office,United States,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.5426,2017,61,PN,96.53,675.71,283.7982,0.0,0.0,Standard,2785,4790.530000000001,35,0.8,31+ Days,96.53
47,98,CA-2017-157833,2017-06-17,2017-06-20,First Class,KD-16345,Consumer,United States,San Francisco,California,94122,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592,2017,3,KD,64.13999999999999,153.93599999999998,53.8776,12.827999999999998,38.483999999999995,Urgent,2796,1443.934,22,0.8,1-5 Days,51.31199999999999
48,99,CA-2016-149223,2016-06-09,2016-11-09,Standard Class,ER-13855,Corporate,United States,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.0,22.5852,2016,153,ER,77.88,467.28,135.5112,0.0,0.0,Standard,3324,984.664,15,0.4,31+ Days,77.88
49,100,CA-2016-158568,2016-08-29,2016-08-29,Standard Class,RB-19465,Home Office,United States,Chicago,Illinois,60610,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184,2016,0,RB,80.77999999999999,452.36799999999994,158.3288,16.156,113.09199999999998,Immediate,2764,18991.288,53,1.1,,64.624
50,103,CA-2016-129903,2016-01-12,2016-04-12,Second Class,GZ-14470,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0.0,11.7208,2016,91,GZ,23.92,95.68,46.8832,0.0,0.0,Standard,2762,8018.76,32,0.7,31+ Days,23.92
51,104,US-2015-156867,2015-11-13,2015-11-17,Standard Class,LC-16870,Consumer,United States,Aurora,Colorado,80013,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758,2015,4,LC,298.61999999999995,1433.376,-161.25480000000002,59.72399999999999,358.34399999999994,Standard,2853,2786.686,34,2.2,1-5 Days,238.89599999999996
52,107,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,JM-15250,Consumer,United States,Charlotte,North Carolina,28205,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016,2017,5,JM,92.63999999999999,592.896,140.8128,18.528,148.224,Standard,2792,12560.779999999999,30,0.8,1-5 Days,74.112
53,110,CA-2015-129476,2015-10-15,2015-10-20,Standard Class,PA-19060,Home Office,United States,Orland Park,Illinois,60462,Central,TEC-AC-10000844,Technology,Accessories,Logitech�Gaming G510s - Keyboard,339.96,5,0.2,67.992,2015,5,PA,424.94999999999993,1699.8,339.96000000000004,84.99,424.95,Standard,2858,2727.912,21,1.2999999999999998,1-5 Days,339.9599999999999
54,111,CA-2017-146780,2017-12-25,2017-12-30,Standard Class,CV-12805,Corporate,United States,New York City,New York,10035,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0.0,10.9096,2017,5,CV,41.96,83.92,21.8192,0.0,0.0,Standard,2760,6936.422,30,1.1,1-5 Days,41.96
55,112,CA-2016-128867,2016-03-11,2016-10-11,Standard Class,CL-12565,Consumer,United States,Urbandale,Iowa,50322,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0.0,22.788,2016,214,CL,75.96,151.92,45.576,0.0,0.0,Standard,3039,20086.329999999998,45,1.0,31+ Days,75.96
56,114,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,Consumer,United States,Columbus,Ohio,43229,East,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348,2014,2,RC,50.11999999999999,561.3439999999999,203.4872,10.024,140.33599999999998,Urgent,2806,1474.0859999999998,30,0.8,1-5 Days,40.09599999999999
59,120,CA-2016-103730,2016-12-06,2016-12-06,First Class,SC-20725,Consumer,United States,Wilmington,Delaware,19805,East,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3,0.0,18.3456,2016,0,SC,47.04,141.12,55.0368,0.0,0.0,Immediate,2942,19278.88,57,1.5,,47.04
60,125,US-2014-152030,2014-12-26,2014-12-28,Second Class,AD-10180,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794,2014,2,AD,857.94,1801.674,-25.7382,257.382,772.146,Urgent,2802,18530.176,29,0.7,1-5 Days,600.558
62,127,US-2017-107272,2017-05-11,2017-12-11,Standard Class,TS-21610,Consumer,United States,Phoenix,Arizona,85023,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308,2017,214,TS,7.959999999999998,4.776,-3.6616,5.571999999999998,11.143999999999997,Standard,2779,15336.800000000003,28,2.5,31+ Days,2.388
63,129,US-2016-125969,2016-06-11,2016-10-11,Second Class,LS-16975,Home Office,United States,Los Angeles,California,90004,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602,2016,122,LS,101.78,162.848,-18.3204,20.356,40.712,Standard,2774,2585.3160000000003,23,2.6,31+ Days,81.424
64,131,US-2017-164147,2017-02-02,2017-05-02,First Class,DW-13585,Corporate,United States,Columbus,Ohio,43229,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4,-11.994,2017,89,DW,99.95,299.85,-59.97,39.980000000000004,199.90000000000003,Standard,3015,2964.802,27,0.8,31+ Days,59.97
65,134,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,LC-16885,Consumer,United States,Roseville,California,95661,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,20.04,3,0.0,9.6192,2016,6,LC,20.04,60.12,28.857599999999998,0.0,0.0,Standard,2771,29924.600000000002,50,3.0,6-30 Days,20.04
66,141,CA-2016-110366,2016-05-09,2016-07-09,Second Class,JD-15895,Corporate,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,0.2,10.35,2016,61,JD,103.49999999999999,165.6,20.7,20.7,41.4,Standard,3180,24256.206000000002,47,0.7000000000000001,31+ Days,82.79999999999998
67,142,CA-2017-106180,2017-09-18,2017-09-23,Standard Class,SH-19975,Corporate,United States,San Francisco,California,94122,West,OFF-AR-10000940,Office Supplies,Art,Newell 343,8.82,3,0.0,2.3814,2017,5,SH,8.82,26.46,7.1442000000000005,0.0,0.0,Standard,2819,4914.6335,38,2.5500000000000003,1-5 Days,8.82
69,146,CA-2015-110744,2015-07-09,2015-12-09,Standard Class,HA-14920,Consumer,United States,Pasadena,California,91104,West,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,7,0.0,20.1579,2015,153,HA,671.93,4703.509999999999,141.1053,0.0,0.0,Standard,2806,7546.003999999999,37,0.8,31+ Days,671.93
70,147,CA-2014-110072,2014-10-22,2014-10-28,Standard Class,MG-17680,Home Office,United States,Newark,Ohio,43055,East,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,4,0.2,12.9096,2014,6,MG,117.36,375.552,51.6384,23.472,93.888,Standard,2847,3530.538,9,0.85,6-30 Days,93.888
72,152,CA-2016-158834,2016-03-13,2016-03-16,First Class,TW-21025,Home Office,United States,Scottsdale,Arizona,85254,West,OFF-AP-10000326,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,157.92,5,0.2,17.766,2016,3,TW,197.39999999999998,789.5999999999999,88.82999999999998,39.48,197.39999999999998,Urgent,2819,16154.104,33,1.0,1-5 Days,157.92
73,154,CA-2015-124919,2015-05-31,2015-05-31,First Class,SP-20650,Corporate,United States,San Jose,California,95123,West,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,7,0.0,26.271,2015,0,SP,58.38,408.66,183.897,0.0,0.0,Immediate,3139,4769.512000000001,42,1.7,,58.38
74,157,CA-2015-118948,2015-05-28,2015-05-28,Standard Class,NK-18490,Home Office,United States,Seattle,Washington,98105,West,OFF-AR-10001547,Office Supplies,Art,Newell 311,6.63,3,0.0,1.7901,2015,0,NK,6.63,19.89,5.3703,0.0,0.0,Immediate,2775,682.752,30,0.8,,6.63
75,158,CA-2014-104269,2014-01-03,2014-03-06,Second Class,DB-13060,Consumer,United States,Seattle,Washington,98115,West,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,457.568,2,0.2,51.4764,2014,62,DB,571.9599999999999,915.136,102.9528,114.392,228.784,Standard,2771,19116.506,28,1.2,31+ Days,457.5679999999999
76,159,CA-2016-114104,2016-11-20,2016-11-24,Standard Class,NP-18670,Consumer,United States,Edmond,Oklahoma,73034,Central,OFF-LA-10002475,Office Supplies,Labels,Avery 519,14.62,2,0.0,6.8714,2016,4,NP,14.62,29.24,13.7428,0.0,0.0,Standard,2775,5909.512,25,0.2,1-5 Days,14.62
77,161,CA-2016-162733,2016-11-05,2016-12-05,First Class,TT-21070,Consumer,United States,Los Angeles,California,90045,West,OFF-PA-10002751,Office Supplies,Paper,Xerox 1920,5.98,1,0.0,2.691,2016,30,TT,5.98,5.98,2.691,0.0,0.0,Standard,2786,16448.876,36,1.0,6-30 Days,5.98
78,162,CA-2015-119697,2015-12-28,2015-12-31,Second Class,EM-13960,Consumer,United States,Philadelphia,Pennsylvania,19134,East,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,54.384,2,0.2,1.3596,2015,3,EM,67.97999999999999,108.768,2.7192,13.595999999999998,27.191999999999997,Urgent,3111,1850.616,14,1.2,1-5 Days,54.38399999999999
79,163,CA-2016-154508,2016-11-16,2016-11-20,Standard Class,RD-19900,Consumer,United States,Carlsbad,New Mexico,88220,West,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,28.4,5,0.0,13.348,2016,4,RD,28.4,142.0,66.74000000000001,0.0,0.0,Standard,2929,5979.0019999999995,29,0.8,1-5 Days,28.4
80,164,CA-2016-113817,2016-07-11,2016-11-11,Standard Class,MJ-17740,Consumer,United States,Seattle,Washington,98115,West,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,27.68,2,0.2,9.688,2016,123,MJ,34.599999999999994,55.36,19.376,6.919999999999999,13.839999999999998,Standard,2812,22596.168,27,1.5,31+ Days,27.679999999999996
81,165,CA-2014-139892,2014-08-09,2014-09-12,Standard Class,BM-11140,Consumer,United States,San Antonio,Texas,78207,Central,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,9.936,3,0.2,2.7324,2014,34,BM,12.42,29.808,8.1972,2.484,7.452,Standard,3062,3516.636,16,0.4,31+ Days,9.936
82,172,CA-2014-118962,2014-05-08,2014-08-09,Standard Class,CS-12130,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6� x 11�",20.94,3,0.0,9.8418,2014,93,CS,20.94,62.82000000000001,29.525399999999998,0.0,0.0,Standard,3244,1662.9,16,0.4,31+ Days,20.94
85,178,US-2015-101511,2015-11-21,2015-11-23,Second Class,JE-15745,Consumer,United States,Newark,Ohio,43055,East,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",396.802,7,0.3,-11.3372,2015,2,JE,566.86,2777.614,-79.3604,170.058,1190.406,Urgent,2854,17172.538,62,2.3,1-5 Days,396.802
86,180,CA-2015-137225,2015-12-15,2015-12-19,Standard Class,JK-15640,Home Office,United States,New York City,New York,10009,East,OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28,1,0.0,1.4104,2015,4,JK,3.28,3.28,1.4104,0.0,0.0,Standard,3053,1822.922,30,0.8,1-5 Days,3.28
87,181,CA-2014-166191,2014-05-12,2014-12-09,Second Class,DK-13150,Corporate,United States,Decatur,Illinois,62521,Central,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",24.816,2,0.2,1.8612,2014,211,DK,31.019999999999996,49.632,3.7224,6.204,12.408,Standard,2765,1449.132,7,0.2,31+ Days,24.815999999999995
89,186,CA-2016-105018,2016-11-28,2016-11-28,Standard Class,SK-19990,Consumer,United States,Fairfield,Connecticut,06824,East,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,7.16,2,0.0,3.4368,2016,0,SK,7.16,14.32,6.8736,0.0,0.0,Immediate,2763,259.841,5,0.7,,7.16
